"Outlet";"CT";"Transaction Time";"Amount";"Credits";"Action";"Description"
"11-0010";"750624";"10.03.2022 08:59:51";"0";"0";"Start of Business Day";""
"11-0010";"750624";"10.03.2022 11:43:32";"1.035,45";"1.035,45";"Remote-In";""
"11-0010";"750624";"10.03.2022 11:43:53";"-1,50";"1.033,95";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:43:53";"0";"1.033,95";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:43:54";"-1,50";"1.032,45";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:43:58";"1,20";"1.033,65";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:43:59";"-1,50";"1.032,15";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:00";"0";"1.032,15";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:00";"-1,50";"1.030,65";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:03";"0,30";"1.030,95";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:04";"-1,50";"1.029,45";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:05";"0";"1.029,45";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:05";"-1,50";"1.027,95";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:06";"0";"1.027,95";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:06";"-1,50";"1.026,45";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:07";"0";"1.026,45";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:08";"-1,50";"1.024,95";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:09";"0";"1.024,95";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:09";"-1,50";"1.023,45";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:10";"0";"1.023,45";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:10";"-1,50";"1.021,95";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:11";"0";"1.021,95";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:12";"-1,50";"1.020,45";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:14";"0";"1.020,45";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:14";"-1,50";"1.018,95";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:15";"0";"1.018,95";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:16";"-1,50";"1.017,45";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:17";"0";"1.017,45";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:17";"-1,50";"1.015,95";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:19";"0";"1.015,95";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:20";"-1,50";"1.014,45";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:20";"0";"1.014,45";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:21";"-1,50";"1.012,95";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:22";"0";"1.012,95";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:23";"-1,50";"1.011,45";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:26";"0,75";"1.012,20";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:26";"-1,50";"1.010,70";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:27";"0";"1.010,70";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:28";"-1,50";"1.009,20";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:31";"0,30";"1.009,50";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:32";"-1,50";"1.008,00";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:46";"0";"1.008,00";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:47";"-1,50";"1.006,50";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:48";"0";"1.006,50";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:48";"-1,50";"1.005,00";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:49";"0";"1.005,00";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:50";"-1,50";"1.003,50";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:50";"0";"1.003,50";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:51";"-1,50";"1.002,00";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:52";"0";"1.002,00";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:52";"-1,50";"1.000,50";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:54";"0";"1.000,50";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:55";"-1,50";"999,00";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:58";"7,50";"1.006,50";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:44:59";"-1,50";"1.005,00";"Game-Start";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:45:00";"0";"1.005,00";"Game-End";"Game: Dolphin's Pearl Deluxe"
"11-0010";"750624";"10.03.2022 11:45:00";"-1,50";"1.003,50";"Game-Start";"Game: Dolphin's Pearl Deluxe"
